Clima,Fonte,Gs,Nome,Sottotipo,Terreno,Tipo
Qualsiasi,Bestiario 2,8,Bodak,Extraplanare,Terreni (Piani Esterni Malvagi),Non Morto
-,Bestiario 4,8,Capitano delle Guardie Progenie del Baccello,Umanoide Potenziato,Qualsiasi,Vegetale
-,Bestiario 4,8,Cefaloforo,,Qualsiasi,Costrutto
Freddi,Bestiario 1,8,Crioidra a 7 Teste,Freddo,"Paludi, Ghiacciai",Bestia Magica
-,Bestiario 2,8,"Daemon, Idrodaemon","Acquatico, Daemon, Extraplanare, Malvagio",Qualsiasi (Abaddon),Esterno
-,Bestiario 1,8,"Demone, Nabasu","Caotico, Demone, Malvagio, Nativo",Qualsiasi (Abisso),Esterno
-,Bestiario 4,8,"Diavolo, Annegatore","Diavolo, Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
Qualsiasi,Bestiario 2,8,Destrachan,,Sotterranei,Aberrazione
-,Bestiario 1,8,"Diavolo, Erinni","Diavolo, Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
Caldi,Bestiario 2,8,"Dinosauro, Tilosauro",,Acquatici,Animale
Caldi,Bestiario 1,8,"Dinosauro, Triceratopo",,Pianure,Animale
Qualsiasi,Bestiario 1,8,Divoracervelli,,Sotterranei,Aberrazione
Caldi,Bestiario 3,8,Draco di Deserto,Terra,Deserti,Drago
Caldi,Bestiario 1,8,"Drago Cromatico, Nero Adolescente",Acqua,Paludi,Drago
Caldi,Bestiario 1,8,"Drago Cromatico, Rosso Molto Giovane",Fuoco,Montagne,Drago
Temperati,Bestiario 1,8,"Drago Cromatico, Verde Giovane",Aria,Foreste,Drago
Qualsiasi,Bestiario 4,8,"Drago Esterno, Vortice Molto Giovane",Fuoco,Vuoto,Drago
Qualsiasi,Bestiario 3,8,"Drago Imperiale, Foresta Molto Giovane",Terra,Foreste,Drago
Qualsiasi,Bestiario 3,8,"Drago Imperiale, Mare Giovane",Acqua,Acquatici,Drago
Qualsiasi,Bestiario 3,8,"Drago Imperiale, Sottosuolo Adolescente",Fuoco,Sotterranei,Drago
Temperati,Bestiario 1,8,"Drago Metallico, Argento Molto Giovane",Freddo,Montagne,Drago
Caldi,Bestiario 1,8,"Drago Metallico, Ottone Adolescente",Fuoco,Deserti,Drago
Caldi,Bestiario 1,8,"Drago Metallico, Rame Giovane",Terra,Colline,Drago
Qualsiasi,Bestiario 2,8,"Drago Primevo, Magma Giovane","Extraplanare, Fuoco","Montagne, Sotterranei (Piano del Fuoco)",Drago
-,Bestiario 2,8,"Drago Primevo, Ombre Molto Giovane",Extraplanare,Qualsiasi,Drago
Qualsiasi,Bestiario 2,8,"Drago Primevo, Salsedine Adolescente","Acqua, Extraplanare",Acquatici (Piano dell'Acqua),Drago
-,Bestiario 3,8,Eidolon Slegato,Extraplanare,Qualsiasi,Esterno
-,Avventure Mitiche,8,Ettin Mitico,"Gigante, Mitico",Qualsiasi,Umanoide
-,Avventure Mitiche,8,Ettin Sangue d'Orco,"Gigante, Mitico",Qualsiasi,Umanoide
-,Avventure Mitiche,8,Ettin Sangue di Colline,"Gigante, Mitico",Qualsiasi,Umanoide
-,Avventure Mitiche,8,Ettin Sangue di Pietra,"Gigante, Mitico",Qualsiasi,Umanoide
Qualsiasi,Bestiario 2,8,Fiorlunare,,Terreni,Vegetale
Freddi,Bestiario 3,8,Gelido Cavaliere,Freddo,Qualsiasi,Folletto
-,Bestiario 1,8,"Genio, Djinni Nobile (Visir)","Aria, Extraplanare",Qualsiasi (Piano dell'Aria),Esterno
-,Bestiario 1,8,"Genio, Efreeti","Extraplanare, Fuoco",Qualsiasi (Piano del Fuoco),Esterno
Temperati,Bestiario 2,8,Gigante delle Paludi,Gigante,Paludi,Umanoide
Temperati,Bestiario 1,8,Gigante delle Rocce,Gigante,Montagne,Umanoide
Caldi,Bestiario 3,8,Girtablilu,,Deserti,Umanoide Mostruoso
-,Bestiario 3,8,"Golem, Ossa",,Qualsiasi,Costrutto
Qualsiasi,Bestiario 2,8,"Golem, Vetro",,Terreni,Costrutto
Qualsiasi,Bestiario 2,8,"Golem, Vetro Colorato",,Terreni,Costrutto
Temperati,Bestiario 1,8,Gorgone,,"Colline Rocciose, Pianure, Sotterranei",Bestia Magica
-,Bestiario 3,8,Guecubu,Terra,Qualsiasi,Non Morto
Temperati,Bestiario 1,8,Idra a 9 Teste,,Paludi,Bestia Magica
"Freddi, Temperati",Bestiario 3,8,Iku-Turso,Acquatico,"Acquatici, Sotterranei",Aberrazione
Qualsiasi,Bestiario 2,8,Ippocampo Gigante,Acquatico,Acquatici,Bestia Magica
Qualsiasi,Bestiario 2,8,Lamia Matriarca,Mutaforma,Terreni,Umanoide Mostruoso
Temperati,Bestiario 3,8,Lammasu,,Deserti,Bestia Magica
"Caldi, Temperati",Bestiario 1,8,Lumaca Gigante,,"Paludi, Sotterranei",Parassita
Qualsiasi,Bestiario 3,8,Lupo Vestito Da Pecora,,Foreste,Aberrazione
Caldi,Bestiario 3,8,"Megafauna, Baluchiterio",,Foreste,Animale
Qualsiasi,Bestiario 4,8,Megera Sanguinaria,Mutaforma,Terreni,Umanoide Mostruoso
Qualsiasi,Bestiario 2,8,Melma di Lava Sulfurea,Fuoco,"Sotterranei, Vulcani",Melma
Qualsiasi,Bestiario 2,8,Melma di Lava Velenosa,Fuoco,"Sotterranei, Vulcani",Melma
Qualsiasi,Bestiario 3,8,Melma Trappola Mortale,Mutaforma,Sotterranei,Melma
Temperati,Bestiario 4,8,Menade,,"Foreste, Pianure",Umanoide Mostruoso
-,Bestiario 2,8,Mihstu,"Aria, Elementale, Extraplanare",Qualsiasi (Piano dell'Aria),Esterno
-,Bestiario 1,8,Mohrg,,Qualsiasi,Non Morto
-,Bestiario 1,8,Naga Oscuro,,Qualsiasi,Aberrazione
-,Bestiario 2,8,Neh-Thalggu,,Qualsiasi,Aberrazione
Caldi,Bestiario 3,8,Nephilim,Nativo,Colline,Esterno
Qualsiasi,Bestiario 4,8,Ninfa Micotica,Folletto Potenziato,"Rovine, Sotterranei",Vegetale
-,Bestiario 1,8,Ombra Superiore,Incorporeo,Qualsiasi,Non Morto
Freddi,Bestiario 1,8,"Oni, Ogre Magi","Gigante, Mutaforma, Nativo, Oni",Colline,Esterno
Qualsiasi,Bestiario 1,8,Piovra Gigante,Acquatico,Oceani,Animale
Qualsiasi,Bestiario 1,8,Piroidra a 7 Teste,Fuoco,"Deserti, Vulcani",Bestia Magica
Temperati,Bestiario 2,8,Querciaviva,,Foreste,Vegetale
-,Bestiario 3,8,"Rakshasa, Marai","Mutaforma, Nativo, Rakshasa",Qualsiasi,Esterno
Qualsiasi,Bestiario 4,8,"Razza Predatrice, Intrappolatrice",,Sotterranei,Aberrazione
Caldi,Bestiario 2,8,Scarabeo Goliath,,"Foreste, Pianure",Parassita
-,Bestiario 3,8,Sciame di Vespe Infernali,"Extraplanare, Sciame",Qualsiasi (Inferno),Parassita
Temperati,Bestiario 3,8,Scorpione Morterapida,,Foreste,Parassita
Caldi,Bestiario 1,8,"Sfinge, Ginosfinge",,"Colline, Deserti",Bestia Magica
Freddi,Bestiario 2,8,Shantak,,Montagne,Bestia Magica
-,Bestiario 2,8,Sogno Animato,"Extraplanare, Incorporeo",Qualsiasi (Piano Etereo),Esterno
Qualsiasi,Bestiario 4,8,Spirito Marcescente,Incorporeo,"Sotterranei, Terreni",Non Morto
Temperati,Bestiario 2,8,Squartatore Grigio,,Paludi,Bestia Magica
Caldi,Bestiario 3,8,Stinfalide,,"Pianure, Zone Costiere",Bestia Magica
-,Bestiario 4,8,Svartalfar,Extraplanare,Qualsiasi (Piano delle Ombre),Folletto
Qualsiasi,Bestiario 2,8,Tarantola Gigante,,Foreste,Parassita
Caldi,Bestiario 4,8,Testuggine Immensa,,Isole,Animale
Qualsiasi,Bestiario 1,8,Tigre Crudele,,"Foreste, Pianure, Paludi",Animale
Qualsiasi,Bestiario 1,8,Treant,,Foreste,Vegetale
Freddi,Bestiario 4,8,Tricheco Imperatore,,Oceani,Animale
Qualsiasi,Bestiario 2,8,Verme Tenebroso,Extraplanare,Terreni (Piano delle Ombre),Esterno
"Caldi, Temperati",Avventure Mitiche,8,Viverna Mitica,Mitico,Colline,Drago
"Caldi, Temperati",Avventure Mitiche,8,Viverna Bianca Mitica,Mitico,Colline,Drago
"Caldi, Temperati",Avventure Mitiche,8,Viverna Blu Mitica,Mitico,Colline,Drago
"Caldi, Temperati",Avventure Mitiche,8,Viverna Nera Mitica,Mitico,Colline,Drago
"Caldi, Temperati",Avventure Mitiche,8,Viverna Rossa Mitica,Mitico,Colline,Drago
"Caldi, Temperati",Avventure Mitiche,8,Viverna Verde Mitica,Mitico,Colline,Drago
-,Bestiario 1,8,Xorn Anziano,"Extraplanare, Terra",Qualsiasi (Piano della Terra),Esterno
Freddi,Bestiario 3,8,Yuki-Onna,"Freddo, Incorporeo",Qualsiasi,Non Morto
"Temperati, Tropicali",Bestiario 2,8,Zanzara della Giungla,,Paludi,Parassita
Qualsiasi,Avventure Mitiche,9,Aboleth Mitico,"Acquatico, Mitico",Acquatici,Aberrazione
Qualsiasi,Bestiario 2,9,"Agathion, Avoral","Agathion, Buono, Extraplanare",Cieli (Nirvana),Esterno
-,Bestiario 3,9,"Asura, Upasunda","Asura, Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
Temperati,Bestiario 2,9,Aurumvorax,,"Colline, Foreste, Pianure",Bestia Magica
-,Bestiario 3,9,Baykok,,Qualsiasi,Non Morto
Qualsiasi,Bestiario 1,9,Calamaro Gigante,Acquatico,Oceani,Animale
Qualsiasi,Bestiario 4,9,"Carnideforme, Irnakurse",,Sotterranei,Aberrazione
-,Bestiario 2,9,Cavallo Dragone,Aria,Qualsiasi,Bestia Magica
Caldi,Bestiario 1,9,Coccodrillo Crudele,,"Fiumi, Paludi",Animale
Freddi,Bestiario 1,9,Crioidra a 8 Teste,Freddo,"Ghiacciai, Paludi",Bestia Magica
-,Bestiario 2,9,"Daemon, Leucodaemon","Daemon, Extraplanare, Malvagio",Qualsiasi (Abbadon),Esterno
-,Bestiario 1,9,"Demone, Vrock","Caotico, Demone, Extraplanare, Malvagio",Qualsiasi (Abisso),Esterno
-,Bestiario 1,9,"Diavolo, Ossa","Diavolo, Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
Caldi,Bestiario 1,9,"Dinosauro, Tirannosauro",,"Foreste, Pianure",Animale
Caldi,Bestiario 3,9,Draco di Crepaccio,Terra,"Colline, Montagne",Drago
Caldi,Bestiario 4,9,Draco di Lava,Fuoco,"Colline, Foreste, Montagne",Drago
Freddi,Avventure Mitiche,9,"Drago Cromatico, Bianco Adolescente Mitico","Freddo, Mitico",Montagne,Drago
Freddi,Bestiario 1,9,"Drago Cromatico, Bianco Adulto Giovane",Freddo,Montagne,Drago
Caldi,Bestiario 1,9,"Drago Cromatico, Blu Giovane",Terra,Deserti,Drago
Temperati,Bestiario 1,9,"Drago Cromatico, Verde Adolescente",Aria,Foreste,Drago
Qualsiasi,Bestiario 4,9,"Drago Esterno, Lunare Giovane",,Vuoto,Drago
Qualsiasi,Bestiario 4,9,"Drago Esterno, Solare Giovane",Fuoco,Vuoto,Drago
Qualsiasi,Bestiario 4,9,"Drago Esterno, Tempo Molto Giovane",,Vuoto,Drago
Qualsiasi,Bestiario 4,9,"Drago Esterno, Vuoto Giovane",,Vuoto,Drago
"Caldi, Temperati",Bestiario 3,9,"Drago Imperiale, Cielo Giovane",Aria,Montagne,Drago
Qualsiasi,Bestiario 3,9,"Drago Imperiale, Mare Adolescente",Acqua,Acquatici,Drago
Qualsiasi,Bestiario 3,9,"Drago Imperiale, Sovrano Molto Giovane",,Montagne,Drago
Temperati,Bestiario 1,9,"Drago Metallico, Bronzo Giovane",Acqua,Zone Costiere,Drago
Caldi,Bestiario 1,9,"Drago Metallico, Oro Molto Giovane",Fuoco,Pianure,Drago
Caldi,Bestiario 1,9,"Drago Metallico, Rame Adolescente",Terra,Colline,Drago
Qualsiasi,Bestiario 2,9,"Drago Primevo, Cristallo Adulto Giovane","Extraplanare, Terra",Sotterranei (Piano della Terra),Drago
Qualsiasi,Bestiario 2,9,"Drago Primevo, Magma Adolescente","Extraplanare, Fuoco","Montagne, Sotterranei (Piano del Fuoco)",Drago
Qualsiasi,Bestiario 2,9,"Drago Primevo, Nuvole Giovane","Extraplanare, Aria",Cieli (Piano dell'Aria),Drago
"Freddi, Temperati",Bestiario 1,9,"Elefante, Mastodonte",,"Foreste, Pianure",Animale
-,Bestiario 2,9,Elementale del Fango Superiore,"Acqua, Elementale, Extraplanare, Terra",Qualsiasi (Piano della Terra),Esterno
-,Bestiario 2,9,Elementale del Fulmine Superiore,"Aria, Elementale, Extraplanare",Qualsiasi (Piano dell'Aria),Esterno
-,Bestiario 1,9,Elementale del Fuoco Superiore,"Fuoco, Elementale, Extraplanare",Qualsiasi (Piano del Fuoco),Esterno
Qualsiasi,Bestiario 2,9,Elementale del Ghiaccio Superiore,"Acqua, Aria, Elementale, Extraplanare","Specchi d'Acqua, Terreni (Piano dell'Acqua)",Esterno
-,Bestiario 2,9,Elementale del Magma Superiore,"Fuoco, Elementale, Extraplanare",Qualsiasi (Piano del Fuoco),Esterno
-,Bestiario 1,9,Elementale dell'Acqua Superiore,"Acqua, Elementale, Extraplanare",Qualsiasi (Piano dell'Acqua),Esterno
-,Bestiario 1,9,Elementale dell'Aria Superiore,"Aria, Elementale, Extraplanare",Qualsiasi (Piano dell'Aria),Esterno
-,Bestiario 1,9,Elementale della Terra Superiore,"Elementale, Extraplanare, Terra",Qualsiasi (Piano della Terra),Esterno
Qualsiasi,Bestiario 4,9,Galvo,Acquatico,Acquatici,Bestia Magica
Tropicali,Bestiario 3,9,Garuda,Nativo,"Colline, Montagne",Esterno
-,Bestiario 4,9,Geist,Incorporeo,Qualsiasi (Siti Infestati o Rovine),Non Morto
Qualsiasi,Bestiario 4,9,Gelatina Tirannica,Mitico,Sotterranei,Melma
-,Bestiario 1,9,"Genio, Marid","Acqua, Extraplanare",Qualsiasi (Piano dell'Acqua),Esterno
Temperati,Avventure Mitiche,9,Gigante delle Colline Mitico,"Gigante, Mitico",Colline,Umanoide
Caldi,Bestiario 3,9,Gigante dei Deserti,Gigante,Deserti,Umanoide
Freddi,Bestiario 1,9,Gigante del Gelo,"Freddo, Gigante",Montagne,Umanoide
Temperati,Bestiario 2,9,Gigante delle Paludi Nato dal Mare,"Acquatico, Gigante",Paludi,Umanoide
Temperati,Bestiario 1,9,Gigante delle Rocce Anziano,Gigante,Montagne,Umanoide
"Caldi, Temperati",Bestiario 4,9,Gigante delle Rupi,Gigante,"Deserti, Pianure",Umanoide
Caldi,Bestiario 4,9,Ginosfinge Mummificata,Bestia Magica Potenziata,Rovine,Non Morto
-,Bestiario 2,9,"Golem, Alchemico",,Qualsiasi,Costrutto
-,Avventure Mitiche,9,"Golem, Carne Mitico",Mitico,Qualsiasi,Costrutto
Caldi,Bestiario 4,9,"Golem, Corallo",,"Oceani, Zone Costiere",Costrutto
Temperati,Avventure Mitiche,9,Idra Mitica,Mitico,Paludi,Bestia Magica
Temperati,Bestiario 1,9,Idra a 10 Teste,,Paludi,Bestia Magica
Freddi,Bestiario 4,9,Ijiraq,Mutaforma,"Foreste, Pianure",Folletto
Qualsiasi,Bestiario 2,9,"Inevitabile, Zelekhut","Extraplanare, Inevitabile, Legale",Terreni (Piano Legale),Esterno
Temperati,Bestiario 2,9,Irthak,,"Deserti, Colline, Montagne",Bestia Magica
-,Bestiario 2,9,Jyoti,Extraplanare,Qualsiasi (Piano dell'Energia Positiva),Esterno
Qualsiasi,Bestiario 4,9,Leanan Sidhe,Mitico,Terreni,Folletto
-,Bestiario 4,9,Lillend Anima Spezzata,"Azata, Caotico, Extraplanare, Malvagio",Qualsiasi,Esterno
Qualsiasi,Bestiario 4,9,"Meccanico, Magio",Meccanico,Terreni,Costrutto
Temperati,Avventure Mitiche,9,Medusa Mitica,Mitico,"Paludi, Sotterranei",Umanoide Mostruoso
Qualsiasi,Bestiario 2,9,Megera Ardente,Incorporeo,"Foreste, Paludi",Non Morto
-,Bestiario 1,9,Megera Notturna,"Extraplanare, Malvagio",Qualsiasi Piano di Allineamento Malvagio,Esterno
"Caldi, Temperati",Bestiario 2,9,Millepiedi Titano,,"Foreste, Sotterranei",Parassita
Qualsiasi,Bestiario 3,9,Mostro di Sargassi,Acquatico,Oceani,Vegetale
Temperati,Bestiario 1,9,Naga Spirituale,,Paludi,Aberrazione
Temperati,Bestiario 4,9,Nependis,,Foreste,Umanoide Mostruoso
Freddi,Bestiario 3,9,Nuckelavee,Acquatico,"Paludi, Zone Costiere",Folletto
Qualsiasi,Bestiario 1,9,Piroidra a 8 Teste,Fuoco,"Deserti, Vulcani",Bestia Magica
Caldi,Bestiario 1,9,Roc,,Montagne,Animale
Temperati,Bestiario 2,9,Sciame di Zecche,Sciame,Foreste,Parassita
-,Bestiario 1,9,Segugio Infernale Nessiano,"Extraplanare, Fuoco, Legale, Malvagio",Qualsiasi (Inferno),Esterno
Caldi,Bestiario 3,9,"Sfinge, Androsfinge",,"Colline, Deserti",Bestia Magica
Caldi,Bestiario 3,9,Shedu,,Deserti,Bestia Magica
Qualsiasi,Bestiario 1,9,Squalo Crudele,Acquatico,Oceani,Animale
"Caldi, Temperati",Bestiario 2,9,Tartaruga Azzannatrice Gigante,,"Acque, Spiagge",Animale
Temperati,Bestiario 1,9,Testuggine Dragona,Acquatico,Acquatici,Drago
Caldi,Bestiario 4,9,Tikbalang,,"Foreste, Giungle",Umanoide Mostruoso
-,Bestiario 1,9,Vampiro,Umanoide Potenziato,Qualsiasi,Non Morto
-,Bestiario 3,9,Yithian,,Qualsiasi,Aberrazione
Caldi,Bestiario 4,1,Abaia,Acquatico,Laghi,Bestia Magica
Temperati,Bestiario 1,1,Acchiappamosche Gigante,,Paludi,Vegetale
Freddi,Bestiario 3,1,Adlet,"Adlet, Freddo","Colline, Montagne, Pianure",Umanoide
Caldi,Bestiario 2,1,Anaconda Gigante,,Paludi,Animale
-,Bestiario 2,1,"Angelo, Deva Movanico","Angelo, Buono, Extraplanare",Qualsiasi Piano di Allineamento Buono,Esterno
-,Bestiario 2,1,"Arconte, Scudo","Arconte, Buono, Extraplanare, Legale",Qualsiasi (Paradiso),Esterno
Qualsiasi,Bestiario 2,1,Balena,,Oceani,Animale
-,Bestiario 1,1,Bebilith,"Caotico, Extraplanare, Malvagio",Qualsiasi (Abisso),Esterno
Qualsiasi,Bestiario 4,1,"Carnideforme, Ghonhatine",,Sotterranei,Aberrazione
-,Bestiario 4,1,Colore Venuto dallo Spazio,Incorporeo,Qualsiasi,Melma
Caldi,Bestiario 1,1,Couatl,Nativo,Foreste,Esterno
Freddi,Bestiario 1,1,Crioidra a 9 Teste,Freddo,"Ghiacciai, Paludi",Bestia Magica
-,Bestiario 2,1,"Daemon, Piscodaemon","Acquatico, Daemon, Extraplanare, Malvagio",Qualsiasi (Abaddon),Esterno
-,Bestiario 2,1,"Demone, Kalavakus","Caotico, Demone, Extraplanare, Malvagio",Qualsiasi (Abisso),Esterno
-,Bestiario 3,1,"Diavolo, Contratto","Diavolo, Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
Caldi,Bestiario 1,1,"Dinosauro, Brachiosauro",,"Foreste, Pianure",Animale
-,Bestiario 3,1,"Div, Ghawwas","Acquatico, Div, Extraplanare, Malvagio",Qualsiasi (Abaddon),Esterno
Freddi,Bestiario 1,1,"Drago Cromatico, Bianco Adulto",Freddo,Montagne,Drago
Caldi,Bestiario 1,1,"Drago Cromatico, Blu Adolescente",Terra,Deserti,Drago
Caldi,Bestiario 1,1,"Drago Cromatico, Nero Adulto Giovane",Acqua,Paludi,Drago
Caldi,Bestiario 1,1,"Drago Cromatico, Rosso Giovane",Fuoco,Montagne,Drago
Qualsiasi,Bestiario 4,1,"Drago Esterno, Lunare Adolescente",,Vuoto,Drago
Qualsiasi,Bestiario 4,1,"Drago Esterno, Solare Adolescente",Fuoco,Vuoto,Drago
Qualsiasi,Bestiario 4,1,"Drago Esterno, Vortice Giovane",Fuoco,Vuoto,Drago
Qualsiasi,Bestiario 4,1,"Drago Esterno, Vuoto Adolescente",,Vuoto,Drago
"Caldi, Temperati",Bestiario 3,1,"Drago Imperiale, Cielo Adolescente",Aria,Montagne,Drago
Qualsiasi,Bestiario 3,1,"Drago Imperiale, Foresta Giovane",Terra,Foreste,Drago
Qualsiasi,Bestiario 3,1,"Drago Imperiale, Sottosuolo Adulto Giovane",Fuoco,Sotterranei,Drago
Temperati,Bestiario 1,1,"Drago Metallico, Argento Giovane",Freddo,Montagne,Drago
Temperati,Bestiario 1,1,"Drago Metallico, Bronzo Adolescente",Acqua,Zone Costiere,Drago
Caldi,Bestiario 1,1,"Drago Metallico, Ottone Adulto Giovane",Fuoco,Deserti,Drago
Qualsiasi,Bestiario 2,1,"Drago Primevo, Cristallo Adulto","Extraplanare, Terra",Sotterranei (Piano della Terra),Drago
Qualsiasi,Bestiario 2,1,"Drago Primevo, Nuvole Adolescente","Extraplanare, Aria",Cieli (Piano dell'Aria),Drago
-,Bestiario 2,1,"Drago Primevo, Ombre Giovane",Extraplanare,Qualsiasi,Drago
Qualsiasi,Bestiario 2,1,"Drago Primevo, Salsedine Adulto Giovane","Extraplanare, Acqua",Acquatici (Piano dell'Acqua),Drago
-,Bestiario 2,1,Dullahan Superiore,,Qualsiasi,Non Morto
-,Bestiario 4,1,Einherji,Extraplanare,Qualsiasi,Esterno
"Caldi, Temperati",Bestiario 4,1,"Formian, Mirmarca",,"Sotterranei, Terreni",Umanoide Mostruoso
-,Bestiario 1,1,"Genio, Efreeti Nobile (Malik)","Extraplanare, Fuoco",Qualsiasi (Piano del Fuoco),Esterno
Caldi,Bestiario 4,1,Gholdako,,Zone Costiere,Non Morto
Caldi,Bestiario 1,1,Gigante del Fuoco,"Fuoco, Gigante",Montagne,Umanoide
Caldi,Bestiario 3,1,Gigante delle Giungle,Gigante,Foreste,Umanoide
-,Bestiario 1,1,"Golem, Argilla",,Qualsiasi,Costrutto
Qualsiasi,Bestiario 1,1,Granchio Gigante degli Scogli,Acquatico,Acquatici,Parassita
Qualsiasi,Bestiario 2,1,Gug,,Sotterranei,Aberrazione
Temperati,Bestiario 1,1,Idra a 11 Teste,,Paludi,Bestia Magica
Temperati,Avventure Mitiche,1,Il Primo Orsogufo (Mitico),Mitico,Foreste,Bestia Magica
Caldi,Bestiario 2,1,Ippopotamo Behemoth,,Fiumi,Animale
-,Bestiario 3,1,"Kami, Zuishin","Kami, Nativo",Qualsiasi,Esterno
"Caldi, Temperati",Bestiario 4,1,Kapre,,Foreste,Vegetale
-,Bestiario 4,1,"Kyton, Sagrestano","Extraplanare, Kyton, Legale, Malvagio",Qualsiasi (Piano delle Ombre),Esterno
Qualsiasi,Avventure Mitiche,1,Lamia Matriarca Mitica,"Mitico, Mutaforma",Terreni,Umanoide Mostruoso
Temperati,Bestiario 4,1,Mirmeleontide,Mitico,"Colline, Pianure",Bestia Magica
Temperati,Bestiario 3,1,Mobogo,Acquatico,Paludi,Bestia Magica
Temperati,Bestiario 1,1,Naga Guardiano,,Pianure,Aberrazione
Qualsiasi,Bestiario 2,1,Nereide,Acqua,Acquatici,Folletto
Caldi,Bestiario 3,1,Nue,,"Foreste, Montagne",Bestia Magica
-,Bestiario 3,1,Pallido Straniero,,Qualsiasi,Non Morto
Qualsiasi,Bestiario 1,1,Piroidra a 9 Teste,Fuoco,"Deserti, Vulcani",Bestia Magica
Temperati,Bestiario 4,1,Progenie di Yog-Sothoth,Extraplanare,Colline,Aberrazione
-,Bestiario 2,1,"Protean, Imentesh","Caotico, Extraplanare, Mutaforma, Protean",Qualsiasi (Limbo),Esterno
-,Bestiario 2,1,"Qlippoth, Nyogoth","Caotico, Extraplanare, Malvagio, Qlippoth",Qualsiasi (Abisso),Esterno
-,Bestiario 1,1,"Rakshasa, Comune","Mutaforma, Nativo",Qualsiasi,Esterno
Caldi,Bestiario 4,1,Rukh,,"Deserti, Montagne",Bestia Magica
Qualsiasi,Bestiario 2,1,Serpe d'Acqua,Acquatico,Laghi,Bestia Magica
Caldi,Avventure Mitiche,1,Sfinge Mitica,Mitico,"Colline, Deserti",Bestia Magica
Qualsiasi,Bestiario 3,1,Siyokoy,Acquatico,Oceani,Aberrazione
Qualsiasi,Bestiario 4,1,Tiberolith,,"Acquatici, Zone Costiere",Costrutto
-,Bestiario 3,1,Tophet,,Qualsiasi,Costrutto
Qualsiasi,Avventure Mitiche,1,Treant Mitico,Mitico,Foreste,Vegetale
-,Bestiario 3,1,Uomo Nero,,Qualsiasi,Folletto
Qualsiasi,Bestiario 4,1,"Vampiro, Nosferatu","Umanoide Potenziato, Umano","Rovine, Urbani",Non Morto
-,Avventure Mitiche,1,Vampiro Mitico,"Mitico, Umanoide Potenziato, Umano",Qualsiasi,Non Morto
Temperati,Bestiario 4,1,Vellosa,,"Paludi, Pianure",Drago
Temperati,Bestiario 1,11,Acchiappamosche Gigante Avanzato,,Paludi,Vegetale
Freddi,Bestiario 3,11,Adlet Sciamano,"Adlet, Freddo","Colline, Montagne, Pianure",Umanoide
-,Bestiario 3,11,"Asura, Aghasura","Asura, Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
Qualsiasi,Bestiario 3,11,Bestia Lunare,,Terreni,Aberrazione
-,Bestiario 3,11,Bhuta,Incorporeo,Qualsiasi Area Naturale di Superficie,Non Morto
-,Bestiario 3,11,Cavaliere Tombale,"Umanoide Potenziato, Umano",Qualsiasi,Non Morto
Freddi,Bestiario 1,11,Crioidra a 10 Teste,Freddo,"Ghiacciai, Paludi",Bestia Magica
-,Bestiario 3,11,Cristallo Carnivoro,"Extraplanare, Terra",Qualsiasi Sotterraneo (Piano della Terra),Melma
-,Bestiario 2,11,"Daemon, Meladaemon","Daemon, Extraplanare, Malvagio",Qualsiasi (Abaddon),Esterno
-,Bestiario 1,11,"Demone, Hezrou","Acquatico, Caotico, Demone, Extraplanare, Malvagio",Qualsiasi (Abisso),Esterno
-,Avventure Mitiche,11,"Demone, Vrock Mitico","Caotico, Demone, Extraplanare, Malvagio, Mitico",Qualsiasi (Abisso),Esterno
-,Avventure Mitiche,11,"Diavolo, Ossa Mitico","Diavolo, Extraplanare, Legale, Malvagio, Mitico",Qualsiasi (Inferno),Esterno
-,Bestiario 1,11,"Diavolo, Uncinato","Diavolo, Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
Caldi,Bestiario 3,11,"Dinosauro, Spinosauro",,Foreste,Animale
-,Bestiario 1,11,Divoratore,Extraplanare,Qualsiasi,Non Morto
-,Bestiario 4,11,Dorvae,Malvagio,Qualsiasi (Piani Malvagi),Esterno
Freddi,Bestiario 1,11,"Drago Cromatico, Bianco Adulto Maturo",Freddo,Montagne,Drago
Caldi,Bestiario 1,11,"Drago Cromatico, Nero Adulto",Acqua,Paludi,Drago
Caldi,Bestiario 1,11,"Drago Cromatico, Rosso Adolescente",Fuoco,Montagne,Drago
Temperati,Bestiario 1,11,"Drago Cromatico, Verde Adulto Giovane",Aria,Foreste,Drago
Qualsiasi,Bestiario 4,11,"Drago Esterno, Tempo Giovane",,Vuoto,Drago
Qualsiasi,Bestiario 4,11,"Drago Esterno, Vortice Adolescente",Fuoco,Vuoto,Drago
Qualsiasi,Bestiario 3,11,"Drago Imperiale, Foresta Adolescente",Terra,Foreste,Drago
Qualsiasi,Bestiario 3,11,"Drago Imperiale, Mare Adulto Giovane",Acqua,Acquatici,Drago
